file,ref,hyp,cer,time_ms
12345555_101_101_wallpad_1564865460_2025-11-07 16_44_17_십고으로 설정해줘.wav,십고으로 설정해줘,십으로 설정해줘,12.5,433
12345555_101_101_wallpad_1564878460_2025-11-07 16_44_29_온도 이십삼도로 바꿔줘.wav,온도 이십삼도로 바꿔줘,온도 이십삼도로 바꿔줘,0.0,440
12345555_101_101_wallpad_1564890460_2025-11-07 16_44_42_난방 위십 킬동.wav,난방 위십 킬동,난방 십칠도,50.0,432
12345555_101_101_wallpad_1564907460_2025-11-07 16_44_58_너무 어두운데 조명 좀 켜줘.wav,너무 어두운데 조명 좀 켜줘,너무 어두운데 조명 좀 켜줘,0.0,429
12345555_101_101_wallpad_1564923460_2025-11-07 16_45_14_조명 키자.wav,조명 키자,조명켜,50.0,428
12345555_101_101_wallpad_1564938460_2025-11-07 16_45_29_불 켜줘.wav,불 켜줘,불 켜줘,0.0,428
12345555_101_101_wallpad_1564956460_2025-11-07 16_45_48_방에 어두워 불 좀 켜줘.wav,방에 어두워 불 좀 켜줘,방이불 좀 켜줘,44.4,430
12345555_101_101_wallpad_1564972460_2025-11-07 16_46_03_거실 불 켜줘.wav,거실 불 켜줘,거실 불 켜줘,0.0,429
12345555_101_101_wallpad_1564987460_2025-11-07 16_46_19_조명 좀 밝게 해줘.wav,조명 좀 밝게 해줘,조명 좀 밝게 해줘,0.0,429
12345555_101_101_wallpad_1565007460_2025-11-07 16_46_39_너무 밝은 데 조명 좀 꺼줘.wav,너무 밝은 데 조명 좀 꺼줘,너무 밝 조명 좀 꺼줘,20.0,431
12345555_101_101_wallpad_1565132460_2025-11-07 16_48_44_조명 꺼.wav,조명 꺼,조명더,33.3,441
12345555_101_101_wallpad_1565149460_2025-11-07 16_49_00_너무 밝은데 조명 좀 꺼줘.wav,너무 밝은데 조명 좀 꺼줘,너무 밝는데 조명 좀 꺼줘,10.0,439
12345555_101_101_wallpad_1565168460_2025-11-07 16_49_20_불 꺼줘.wav,불 꺼줘,불요,66.7,432
12345555_101_101_wallpad_1565198460_2025-11-07 16_49_50_조명 밝기 좀 낮춰줘.wav,조명 밝기 좀 낮춰줘,조명 밝기 좀 낮춰줘,0.0,430
12345555_101_101_wallpad_1565215460_2025-11-07 16_50_07_너무 눈부셔 불 좀 꺼줘.wav,너무 눈부셔 불 좀 꺼줘,꺼줘,77.8,428
12345555_101_101_wallpad_1565232460_2025-11-07 16_50_23_매일 아침에 일곱시에 모닝콜해줘.wav,매일 아침에 일곱시에 모닝콜해줘,매일 아침 일혹시 모닝콜해줘,21.4,428
12345555_101_101_wallpad_1565248460_2025-11-07 16_50_40_매일 아침일 곱시 깨워줘.wav,매일 아침일 곱시 깨워줘,침곱시 깨워줘,40.0,427
12345555_101_101_wallpad_1565262460_2025-11-07 16_50_54_여덟시에 알래람 설정해줘.wav,여덟시에 알래람 설정해줘,여덟시에 알람 설정해줘,9.1,431
12345555_101_101_wallpad_1565275460_2025-11-07 16_51_07_매일 아홉 시에 모닝콜 부탁해.wav,매일 아홉 시에 모닝콜 부탁해,매일 아홉시에 모닝콜 부탁해,0.0,437
12345555_101_101_wallpad_1565291460_2025-11-07 16_51_22_매일 아침 여섯시에 비줘.wav,매일 아침 여섯시에 비줘,내일 아침 여섯시에 띄워줘,30.0,432
12345555_101_101_wallpad_1565303460_2025-11-07 16_51_34_내일 아홉시에 모닝콜 해줘.wav,내일 아홉시에 모닝콜 해줘,내일 아홉시에 온닝콜해줘,9.1,428
12345555_101_101_wallpad_1565314460_2025-11-07 16_51_46_내일 아 침 열시에 깨워줘.wav,내일 아 침 열시에 깨워줘,내일 아침 열쇠에 깨워줘,10.0,427
12345555_101_101_wallpad_1565326460_2025-11-07 16_51_58_내일 열한시에 알람 설정해줘.wav,내일 열한시에 알람 설정해줘,내일 열한시 알람 설정해줘,8.3,428
12345555_101_101_wallpad_1565337460_2025-11-07 16_52_09_내 열섯 시에 불러줘.wav,내 열섯 시에 불러줘,매일 열두시에 불러줘,37.5,427
12345555_101_101_wallpad_1565350460_2025-11-07 16_52_21_내일 다섯 시에 모닝콜 맞춰줘.wav,내일 다섯 시에 모닝콜 맞춰줘,내일 여섯시에  콜 맞춰줘,25.0,426
12345555_101_101_wallpad_1565360460_2025-11-07 16_52_32_오늘 날씨 알려줘.wav,오늘 날씨 알려줘,오늘 날씨 알려줘,0.0,428
12345555_101_101_wallpad_1565374460_2025-11-07 16_52_45_오늘 날씨 어때.wav,오늘 날씨 어때,오늘 날씨 어때,0.0,433
12345555_101_101_wallpad_1565389460_2025-11-07 16_53_01_오늘 비와.wav,오늘 비와,뭘 비와,50.0,441
12345555_101_101_wallpad_1565405460_2025-11-07 16_53_17_오늘 기온 알려줘.wav,오늘 기온 알려줘,오늘 기온 알려줘,0.0,433
12345555_101_101_wallpad_1565419460_2025-11-07 16_53_31_오늘 추워.wav,오늘 추워,오늘추워,0.0,433
12345555_101_101_wallpad_1565443460_2025-11-07 16_53_55_오늘 곧 따뜻하게 입어야 돼.wav,오늘 곧 따뜻하게 입어야 돼,오늘은 따뜻하게 입어야 돼,9.1,433
12345555_101_101_wallpad_1565459460_2025-11-07 16_54_11_오늘 더워.wav,오늘 더워,뭘더,75.0,435
12345555_101_101_wallpad_1565474460_2025-11-07 16_54_26_오늘 눈 나.wav,오늘 눈 나,뭘라요,100.0,428
12345555_101_101_wallpad_1565487460_2025-11-07 16_54_39_오늘 우산 필요해.wav,오늘 우산 필요해,오늘 우산 필요해,0.0,431
12345555_101_101_wallpad_1565500460_2025-11-07 16_54_52_현재 날씨 알려줘줘.wav,현재 날씨 알려줘줘,현재 날씨 알려줘,12.5,429
12345555_101_101_wallpad_1565514460_2025-11-07 16_55_06_지금 날씨 어때.wav,지금 날씨 어때,지금 날씨 어때,0.0,436
12345555_101_101_wallpad_1565527460_2025-11-07 16_55_19_바깥 날씨 어때.wav,바깥 날씨 어때,바깥 날씨 어때요,16.7,430
12345555_101_101_wallpad_1565541460_2025-11-07 16_55_33_현재 기온 알려줘.wav,현재 기온 알려줘,현재 기온 알려줘,0.0,426
12345555_101_101_wallpad_1565555460_2025-11-07 16_55_47_실시간 날씨 알려줘.wav,실시간 날씨 알려줘,실시간 날씨 알려줘,0.0,428
12345555_101_101_wallpad_1565570460_2025-11-07 16_56_01_현재 강릉 날씨 알려줘.wav,현재 강릉 날씨 알려줘,현재 강릉 날씨 알려줘,0.0,427
12345555_101_101_wallpad_1565584460_2025-11-07 16_56_16_강남 지금 날씨 어때.wav,강남 지금 날씨 어때,강남 지금 날씨 어때,0.0,429
12345555_101_101_wallpad_1565597460_2025-11-07 16_56_29_부산 비와.wav,부산 비와, 비어,75.0,427
12345555_101_101_wallpad_1565611460_2025-11-07 16_56_43_대전운도 알려줘.wav,대전운도 알려줘,제전 온도 알려줘,28.6,428
12345555_101_101_wallpad_1565631460_2025-11-07 16_57_03_강원도 기온이 몇 도야.wav,강원도 기온이 몇 도야,기온 몇도야,44.4,427
12345555_101_101_wallpad_1565645460_2025-11-07 16_57_17_춘천 기온 몇 도야.wav,춘천 기온 몇 도야,춘전 기온은 몇 도야,28.6,436
12345555_101_101_wallpad_1565658460_2025-11-07 16_57_29_충주 날씨 어때.wav,충주 날씨 어때,추주 날씨 어때,16.7,434
12345555_101_101_wallpad_1565671460_2025-11-07 16_57_43_선천구 날씨 어때.wav,선천구 날씨 어때,서쪽은 날씨 어때,42.9,429
12345555_101_101_wallpad_1565692460_2025-11-07 16_58_03_삼백팔 십팔번 버스 언제 와.wav,삼백팔 십팔번 버스 언제 와,제 와,81.8,420
12345555_101_101_wallpad_1565712460_2025-11-07 16_58_24_백사십육번 버스 몇 분 후해와.wav,백사십육번 버스 몇 분 후해와,버봐,91.7,430
12345555_101_101_wallpad_1565724460_2025-11-07 16_58_36_육백삼 일번 버스스 지금 어디야.wav,육백삼 일번 버스스 지금 어디야, 지금 언제야,76.9,433
12345555_101_101_wallpad_1565738460_2025-11-07 16_58_50_삼천사 십일번 버스 도착시간 알려줘.wav,삼천사 십일번 버스 도착시간 알려줘,착시 알려줘,66.7,427
12345555_101_101_wallpad_1565751460_2025-11-07 16_59_03_즘 구백광 버스 올제어.wav,즘 구백광 버스 올제어,게,100.0,426
12345555_101_101_wallpad_1565771460_2025-11-07 16_59_23_내 사천 내일 일번 버스 도착 몇 분 남았어.wav,내 사천 내일 일번 버스 도착 몇 분 남았어,내 삼 일버착 몇 분 남았어,43.8,432
12345555_101_101_wallpad_1565826460_2025-11-07 17_00_18_추내 안방 난방 좀 켜줘.wav,추내 안방 난방 좀 켜줘,켜줘,77.8,434
12345555_101_101_wallpad_1565837460_2025-11-07 17_00_29_안방이 좀 추우는데 난방 좀 켜줘.wav,안방이 좀 추우는데 난방 좀 켜줘,방이 좀 추운데 난방 좀 켜줘,23.1,439
12345555_101_101_wallpad_1565851460_2025-11-07 17_00_43_안방에 난방 켜.wav,안방에 난방 켜,켜,83.3,434
12345555_101_101_wallpad_1565860460_2025-11-07 17_00_52_안방 너무 추워 히터 켜줘.wav,안방 너무 추워 히터 켜줘,,100.0,427
12345555_101_101_wallpad_1565869460_2025-11-07 17_01_01_아빠 온도 좀 올려줘.wav,아빠 온도 좀 올려줘,온도 좀 올려줘,25.0,428
12345555_101_101_wallpad_1565878460_2025-11-07 17_01_09_맘 따뜻하게 해줘.wav,맘 따뜻하게 해줘,줘,85.7,428
12345555_101_101_wallpad_1565899460_2025-11-07 17_01_31_거실 난방 꺼져.wav,거실 난방 꺼져,다,100.0,428
12345555_101_101_wallpad_1565909460_2025-11-07 17_01_40_거실 난방 켜줘.wav,거실 난방 켜줘,거실 난방 켜줘,0.0,430
12345555_101_101_wallpad_1565929460_2025-11-07 17_02_01_거실 난방 켜.wav,거실 난방 켜, 켜,80.0,435
12345555_101_101_wallpad_1565938460_2025-11-07 17_02_10_거실 난방 좀 틀어줘.wav,거실 난방 좀 틀어줘,어줘,75.0,430
12345555_101_101_wallpad_1565953460_2025-11-07 17_02_24_거실의 온도 좀 높여줘.wav,거실의 온도 좀 높여줘,높여,77.8,431
12345555_101_101_wallpad_1565967460_2025-11-07 17_02_39_거실 터 켜.wav,거실 터 켜,켜,75.0,430
12345555_101_101_wallpad_1565983460_2025-11-07 17_02_55_거실 따뜻하 해줘.wav,거실 따뜻하 해줘,거실 따뜻게 해줘,14.3,440
12345555_101_101_wallpad_1566010460_2025-11-07 17_03_22_거실 온도 내려줘.wav,거실 온도 내려줘,거실 온도 내려줘,0.0,427
12345555_101_101_wallpad_1566033460_2025-11-07 17_03_45_거실 단은거 꺼.wav,거실 단은거 꺼,,100.0,429
12345555_101_101_wallpad_1566050460_2025-11-07 17_04_02_현재 거실 난방 설정 온도 몇이야.wav,현재 거실 난방 설정 온도 몇이야,도 시야,84.6,427
12345555_101_101_wallpad_1566060460_2025-11-07 17_04_12_지금 거실 온도 몇 도야.wav,지금 거실 온도 몇 도야,지금 거실온도 몇 도야,0.0,433
12345555_101_101_wallpad_1566070460_2025-11-07 17_04_22_거실 가 만 몇 절로 돼 있어.wav,거실 가 만 몇 절로 돼 있어,거실 도로 돼 있어,40.0,429
12345555_101_101_wallpad_1566087460_2025-11-07 17_04_39_거실 설정 온도 알려줘.wav,거실 설정 온도 알려줘,설정온도 알려줘,22.2,429
12345555_101_101_wallpad_1566102460_2025-11-07 17_04_53_거실의 지금 몇 도야.wav,거실의 지금 몇 도야,거실에 지금 몇 도야,12.5,431
12345555_101_101_wallpad_1566118460_2025-11-07 17_05_09_거실 온도 상태 알려줘.wav,거실 온도 상태 알려줘,거운상태 알려줘,33.3,437
12345555_101_101_wallpad_1566130460_2025-11-07 17_05_22_난방 온도 낮춰줘.wav,난방 온도 낮춰줘,,100.0,429
12345555_101_101_wallpad_1566158460_2025-11-07 17_05_50_온도 좀 내려줘.wav,온도 좀 내려줘,온도좀 려줘,16.7,427
12345555_101_101_wallpad_1566176460_2025-11-07 17_06_07_난방 조금만 낮춰줘.wav,난방 조금만 낮춰줘,금만 줘,62.5,444
12345555_101_101_wallpad_1566203460_2025-11-07 17_06_35_너무 더워워 난방 좀 줄여줘.wav,너무 더워워 난방 좀 줄여줘,너 여줘,72.7,440
12345555_101_101_wallpad_1566259460_2025-11-07 17_07_31_모든 난방 꺼줘.wav,모든 난방 꺼줘,모든 전 걸로,66.7,434
12345555_101_101_wallpad_1566281460_2025-11-07 17_07_53_전체 방방 꺼.wav,전체 방방 꺼,,100.0,428
12345555_101_101_wallpad_1566299460_2025-11-07 17_08_11_전부 다막끄니.wav,전부 다막끄니,,100.0,427
12345555_101_101_wallpad_1566316460_2025-11-07 17_08_27_난방 다 꺼줘.wav,난방 다 꺼줘,방다 꺼줘,20.0,427
12345555_101_101_wallpad_1566338460_2025-11-07 17_08_50_모든 방 난방 꺼줘.wav,모든 방 난방 꺼줘,줘,85.7,427
12345555_101_101_wallpad_1566360460_2025-11-07 17_09_12_난방 습칸도로 낮춰줘.wav,난방 습칸도로 낮춰줘,,100.0,427
12345555_101_101_wallpad_1566384460_2025-11-07 17_09_36_난방 습간도로 맞춰줘.wav,난방 습간도로 맞춰줘,로춰줘,66.7,427
12345555_101_101_wallpad_1566396460_2025-11-07 17_09_47_십팔도로 설정해줘.wav,십팔도로 설정해줘,십도로 설정해줘,12.5,427
12345555_101_101_wallpad_1566421460_2025-11-07 17_10_12_온도 십팔도로 바꿔줘.wav,온도 십팔도로 바꿔줘,도로 어줘,66.7,437
12345555_101_101_wallpad_1566457460_2025-11-07 17_10_49_난방 십칠도로 맞춰줘.wav,난방 십칠도로 맞춰줘,줘,88.9,433
12345555_101_101_wallpad_1566490460_2025-11-07 17_11_21_십오도로 설정해줘.wav,십오도로 설정해줘,십로 설정하요,50.0,428
12345555_101_101_wallpad_1566517460_2025-11-07 17_11_48_온도 십삼도로 바꿔줘.wav,온도 십삼도로 바꿔줘,어요,100.0,435
12345555_101_101_wallpad_1566543460_2025-11-07 17_12_15_난방 이십칠도.wav,난방 이십칠도,십,83.3,430
12345555_101_101_wallpad_1566568460_2025-11-07 17_12_40_너무 어두운데 조명 좀 켜줘.wav,너무 어두운데 조명 좀 켜줘,조명켜줘,63.6,429
12345555_101_101_wallpad_1566584460_2025-11-07 17_12_56_조명 띄어.wav,조명 띄어,조명 켜,50.0,428
12345555_101_101_wallpad_1566603460_2025-11-07 17_13_14_불 켜줘.wav,불 켜줘,불줘,33.3,431
12345555_101_101_wallpad_1566621460_2025-11-07 17_13_32_방이 어두워 불 좀 켜줘.wav,방이 어두워 불 좀 켜줘,방에 어도워 불 좀 켜줘,22.2,428
12345555_101_101_wallpad_1566654460_2025-11-07 17_14_06_거실 불명 켜두려.wav,거실 불명 켜두려,거불 켜줘,57.1,432
12345555_101_101_wallpad_1566670460_2025-11-07 17_14_21_조명 좀 밝게 해줘.wav,조명 좀 밝게 해줘, 밝줘,71.4,427
12345555_101_101_wallpad_1566687460_2025-11-07 17_14_38_너무 밝은데 조명 상 꺼줘.wav,너무 밝은데 조명 상 꺼줘,너무 밝은데줘,40.0,427
12345555_101_101_wallpad_1566701460_2025-11-07 17_14_53_조변 꺼.wav,조변 꺼,좋은거,100.0,426
12345555_101_101_wallpad_1566716460_2025-11-07 17_15_07_불 꺼주려고.wav,불 꺼주려고,네요,100.0,427
12345555_101_101_wallpad_1566731460_2025-11-07 17_15_22_조명 밝계 좀 낮춰줘.wav,조명 밝계 좀 낮춰줘,조명 밝기 좀 낮어줘,25.0,427
12345555_101_101_wallpad_1566747460_2025-11-07 17_15_39_너무 눈부셔 불 좀 꺼줘.wav,너무 눈부셔 불 좀 꺼줘,좀 꺼줘,66.7,427
12345555_101_101_wallpad_1566763460_2025-11-07 17_15_54_매일 아침 일곱 시에 모의콜 해줘.wav,매일 아침 일곱 시에 모의콜 해줘,매일 아침에 일곱시에 눈록콜해줘,23.1,429
12345555_101_101_wallpad_1566778460_2025-11-07 17_16_10_매일 아침 일곱시에 깨워줘.wav,매일 아침 일곱시에 깨워줘,내일 아침일곱시에 깨워줘,9.1,430
12345555_101_101_wallpad_1566792460_2025-11-07 17_16_24_여덟시 알람 설정해줘.wav,여덟시 알람 설정해줘,여시 알람 설정해줘,11.1,430
12345555_101_101_wallpad_1566804460_2025-11-07 17_16_36_매일 아홉시일에 모의콜 부탁해.wav,매일 아홉시일에 모의콜 부탁해,매일 아홉시고 부탁해,38.5,428
12345555_101_101_wallpad_1566816460_2025-11-07 17_16_48_내일은 아침 몇섯시에 끼는고 불.wav,내일은 아침 몇섯시에 끼는고 불,침시줘,84.6,432
12345555_101_101_wallpad_1566827460_2025-11-07 17_16_59_내일 시 모닝콜 해줘.wav,내일 시 모닝콜 해줘,문 줘,87.5,429
12345555_101_101_wallpad_1566838460_2025-11-07 17_17_10_내일 아침 몇 시에 깨워줘.wav,내일 아침 몇 시에 깨워줘,내일 아침 열 시에 깨워줘,10.0,427
12345555_101_101_wallpad_1566851460_2025-11-07 17_17_23_내일 열한시 알람 설정해줘.wav,내일 열한시 알람 설정해줘,내일 열시설 좀 해줘,36.4,430
12345555_101_101_wallpad_1566863460_2025-11-07 17_17_35_내 열투실 불러줘.wav,내 열투실 불러줘,네 열두시에 불러줘,57.1,427
12345555_101_101_wallpad_1566878460_2025-11-07 17_17_49_내일 다섯 시에 모닝프로 맞춰줘.wav,내일 다섯 시에 모닝프로 맞춰줘,내섯시에춰줘,53.8,430
12345555_101_101_wallpad_1566891460_2025-11-07 17_18_03_오늘 날씨 알려줘.wav,오늘 날씨 알려줘,오늘 날씨 알려줘,0.0,430
12345555_101_101_wallpad_1566904460_2025-11-07 17_18_15_오늘 날씨 어때.wav,오늘 날씨 어때,오늘 날씨 어때,0.0,428
12345555_101_101_wallpad_1566916460_2025-11-07 17_18_28_오늘 비와.wav,오늘 비와,어을비와,50.0,426
12345555_101_101_wallpad_1566928460_2025-11-07 17_18_40_오늘 기온 알려줘.wav,오늘 기온 알려줘,오늘 기온 알려줘,0.0,436
12345555_101_101_wallpad_1566940460_2025-11-07 17_18_52_오늘 추워.wav,오늘 추워,오늘수워,25.0,427
12345555_101_101_wallpad_1566953460_2025-11-07 17_19_05_오늘 뭐 따뜻한 일 입어야 돼.wav,오늘 뭐 따뜻한 일 입어야 돼,오 ,90.9,427
12345555_101_101_wallpad_1566965460_2025-11-07 17_19_17_오늘 더워.wav,오늘 더워,뭘 더,75.0,434
12345555_101_101_wallpad_1566977460_2025-11-07 17_19_28_오늘 눈이 와.wav,오늘 눈이 와,오늘눈 와,20.0,430
12345555_101_101_wallpad_1566989460_2025-11-07 17_19_40_오늘 우산 필요해.wav,오늘 우산 필요해,오늘 우산 필요해,0.0,429
12345555_101_101_wallpad_1567005460_2025-11-07 17_19_57_현재 날씨 알려줘.wav,현재 날씨 알려줘,현재 날씨 알려줘,0.0,433
12345555_101_101_wallpad_1567018460_2025-11-07 17_20_10_지금 날씨 어때.wav,지금 날씨 어때,지금 날씨 어때,0.0,430
12345555_101_101_wallpad_1567032460_2025-11-07 17_20_23_바깥은 날씨 어때.wav,바깥은 날씨 어때,바날씨 어때,28.6,427
12345555_101_101_wallpad_1567044460_2025-11-07 17_20_36_현재 기온 알려줘.wav,현재 기온 알려줘,현재 기온 알려줘,0.0,426
12345555_101_101_wallpad_1567057460_2025-11-07 17_20_49_실시간 날씨 알려줘.wav,실시간 날씨 알려줘,실시간 날씨 알려줘,0.0,431
12345555_101_101_wallpad_1567071460_2025-11-07 17_21_02_현재 금융 날씨 알려줘.wav,현재 금융 날씨 알려줘,현재 금요 날씨 알려줘,11.1,429
12345555_101_101_wallpad_1567085460_2025-11-07 17_21_16_강남은 지금 날씨 어때.wav,강남은 지금 날씨 어때,강남은 지금 날씨 어때,0.0,427
12345555_101_101_wallpad_1567097460_2025-11-07 17_21_28_부산 비와.wav,부산 비와,전 비워,75.0,427
12345555_101_101_wallpad_1567110460_2025-11-07 17_21_41_대전 온도 알려줘.wav,대전 온도 알려줘,대전온도 알려줘,0.0,434
12345555_101_101_wallpad_1567122460_2025-11-07 17_21_54_강까운도 비교는 몇 도야.wav,강까운도 비교는 몇 도야,기온몇,90.0,427
12345555_101_101_wallpad_1567135460_2025-11-07 17_22_07_춘천 기온 몇 도야.wav,춘천 기온 몇 도야,춘천 기온 몇 도야,0.0,428
12345555_101_101_wallpad_1567147460_2025-11-07 17_22_19_충주 락씨 어때.wav,충주 락씨 어때,충주 날씨 어때,16.7,428
12345555_101_101_wallpad_1567157460_2025-11-07 17_22_28_속초구 날씨 어때.wav,속초구 날씨 어때,속초구 날씨 어때,0.0,428
12345555_101_101_wallpad_1567177460_2025-11-07 17_22_48_삼백팔십팔번 버스 언제 와.wav,삼백팔십팔번 버스 언제 와,십팔 버 언제 와,45.5,427
12345555_101_101_wallpad_1567194460_2025-11-07 17_23_06_백사승증권 버스 몇 분후에 와.wav,백사승증권 버스 몇 분후에 와,,100.0,428
12345555_101_101_wallpad_1567212460_2025-11-07 17_23_24_육백사십 일 버스 지금 어디야.wav,육백사십 일 버스 지금 어디야,버스 지금 어디야,41.7,427
12345555_101_101_wallpad_1567227460_2025-11-07 17_23_38_삼천사백 십이번 버스 도착시간 알려줘.wav,삼천사백 십이번 버스 도착시간 알려줘,십도착시간 알려줘,50.0,430
12345555_101_101_wallpad_1567239460_2025-11-07 17_23_50_유천 구경 번버스 올 때 됐어.wav,유천 구경 번버스 올 때 됐어,유천원 구버스 올때 됐어,27.3,437
12345555_101_101_wallpad_1567261460_2025-11-07 17_24_13_사천 백일번 버스 도착 몇 분 남았어.wav,사천 백일번 버스 도착 몇 분 남았어,,100.0,431
12345555_101_101_wallpad_1567693460_2025-11-07 17_31_24_안방이 좀 추운데 난방 좀 켜줘.wav,안방이 좀 추운데 난방 좀 켜줘,방켜줘,75.0,427
